frame,timestamp_sec,valid_ratio,depth_mean_mm,depth_std_mm,depth_min_mm,depth_max_mm,depth_p25_mm,depth_p75_mm
259,17.4001,0.0346,2547.9,1342.9,515,4892,1300.0,3611.0
260,17.4667,0.0349,2564.3,1333.3,515,4892,1301.0,3611.0
261,17.5334,0.0344,2550.9,1339.1,515,4900,1300.0,3606.0
262,17.6001,0.0344,2550.9,1332.3,515,4892,1300.0,3604.0
263,17.6667,0.0353,2541.5,1328.7,515,4892,1300.0,3604.0
264,17.7334,0.0343,2565.0,1333.8,515,4892,1301.0,3612.0
265,17.8001,0.0346,2537.7,1327.2,515,4892,1300.0,3604.0
266,17.8667,0.0347,2545.9,1332.3,515,4892,1300.0,3604.0
267,17.9334,0.0344,2560.0,1323.1,515,4897,1300.0,3604.0
268,18.0001,0.0338,2587.6,1326.0,515,4892,1540.0,3612.0
269,18.0667,0.0339,2586.1,1323.7,515,4900,1540.0,3605.0
270,18.1334,0.0337,2615.3,1333.5,515,4892,1540.0,3844.0
271,18.2001,0.0337,2629.0,1330.2,515,4892,1540.0,3845.0
272,18.2667,0.0329,2625.6,1326.7,515,4892,1540.0,3844.0
273,18.3334,0.0332,2660.2,1324.6,515,4897,1542.0,3846.0
274,18.4001,0.0328,2644.9,1322.6,515,4892,1542.0,3846.0
275,18.4667,0.0326,2641.1,1326.9,515,4892,1540.8,3845.0
276,18.5334,0.0338,2620.0,1331.2,515,4892,1540.0,3845.0
277,18.6001,0.0334,2633.2,1333.7,515,4892,1540.0,3846.0
278,18.6667,0.034,2633.3,1329.5,515,4892,1540.0,3846.0
279,18.7334,0.0346,2617.1,1334.9,515,4897,1540.0,3846.0
280,18.8,0.0337,2639.3,1347.6,515,4900,1540.0,3847.0
281,18.8667,0.0343,2656.8,1355.4,515,4892,1540.0,3852.0
282,18.9334,0.0341,2670.1,1357.2,515,4892,1541.0,3854.0
283,19.0001,0.0341,2662.9,1351.0,515,4892,1540.0,3851.0
284,19.0667,0.0341,2636.9,1339.6,515,4892,1540.0,3846.0
285,19.1334,0.0346,2629.7,1323.5,515,4892,1540.0,3844.0
286,19.2001,0.0337,2622.8,1327.2,515,4892,1540.0,3844.0
287,19.2667,0.0341,2627.4,1330.3,515,4892,1540.0,3844.0
288,19.3334,0.0335,2613.6,1331.0,515,4892,1540.0,3844.0
289,19.4001,0.0332,2597.5,1325.0,515,4892,1540.0,3844.0
290,19.4667,0.0329,2593.0,1330.5,515,4892,1540.0,3844.0
291,19.5334,0.0332,2594.6,1336.2,515,4897,1307.0,3844.0
292,19.6001,0.0329,2606.5,1331.9,515,4892,1540.0,3844.0
